key;name;file;file_alter_v;MS-50G;MS-60B;MS-70CDR;G1on;B1on;description;description rus;group name;group number;version
117;SuperB;_SuperB.ZDL;_SuperB.ZDL;;MS-60B;;;B1on;Simulation of the Marshall Super Bass that made rock history;Моделирует Marshall Super Bass, который вошел в историю рока ;B_AMP;0x05;1.00
118;SVT;_SVT.ZDL;SVT.ZDL;;MS-60B;;;B1on;Simulation of the ultimate rock bass amp, the Ampeg SVT;Моделирует идеальный роковый бас усилитель Ampeg SVT ;B_AMP;0x05;1.00
119;ANA234Cho;ANA234CH.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This analog chorus sound models the MXR M234;Моделирует эффект аналогового хоруса MXR M234;MOD;0x06;1.00
120;Ba Chorus;B_CHORUS.ZDL;;;MS-60B;MS-70CDR;;B1on;You can cut the low frequencies of this bass chorus effect sound;Вы можете вырезать низкие частоты в звучании этого басового хоруса;MOD;0x06;1.01
121;Ba Detune;B_DETUNE.ZDL;;;MS-60B;MS-70CDR;;B1on;By mixing a small amount of the pitch-shifted effect sound with the original sound, a natural bass chorus effect is achieved;Подмешивание небольшого количества слегка сдвинутого по частоте звука к оригинальному сигналу, что дает эффект натурального басового хоруса;MOD;0x06;1.01
122;Ba Ensmbl;B_ENSMBL.ZDL;;;MS-60B;MS-70CDR;;B1on;This bass chorus ensemble features a sense of three-dimensional movement;Многоголосный хорус, создающий эффект басового ансамбля с объемным звучанием;MOD;0x06;1.01
123;Ba Octave;B_OCTAVE.ZDL;;;MS-60B;MS-70CDR;;B1on;This effect adds sound one octave below the original sound;Эффект добавляет звук одной октавы вниз к исходному звуку;MOD;0x06;1.01
124;Ba Pitch;B_PITCH.ZDL;;;MS-60B;MS-70CDR;;B1on;This pitch shifter was designed specifically for playing single notes in the bass frequency range;Питч шифтер, разработан специально для исполнения отдельных нот в басовом диапазоне;MOD;0x06;1.00
125;BaFlanger;B_FLNGR.ZDL;;;MS-60B;MS-70CDR;;B1on;Modeled after the ADA Flanger, this effect has an added parameter that allows you to adjust the volume balance between the original and effected sounds;Моделирует флэнжер ADA, эффект имеет дополнительные параметры, позволяющие регулировать баланс между исходным и обработанным звуком;MOD;0x06;1.01
126;BendCho;BENDCHO.ZDL;;MS-50G;;MS-70CDR;G1on;B1on;This effect provides pitch bending that uses the input signal as trigger and processes each note separately;Эффект меняет высоту тона, используя входной сигнал как триггер, обрабатывает каждую ноту по отдельности;MOD;0x06;1.00
127;BF FLG 2;BF_FLG_2.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This models a BOSS BF-2 Flanger;Моделирует эффект BOSS BF-2 Flanger;MOD;0x06;1.00
128;CE-Cho5;CE_CHO5.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This chorus is a model of the BOSS CE-5;Моделирует эффект BOSS CE-5;MOD;0x06;1.00
129;Chorus;CHORUS.ZDL;;MS-50G;;MS-70CDR;G1on;;This effect mixes a shifted pitch with the original sound to add movement and thickness;Эффект подмешивает к основному сигналу его копию, сдвинутую по высоте, что добавляет звучанию движения и плотности;MOD;0x06;1.00
130;CloneCho;CLONECHO.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This analog chorus sound models the Electro-Harmonix SmallClone;Моделирует эффект аналогового хоруса Electro-Harmonix SmallClone;MOD;0x06;1.00
131;CoronaCho;CRN_CHO.ZDL;;MS-50G;MS-60B;MS-70CDR;;;'This is a model of tc electronic''s CORONA CHORUS';Моделирует эффект CORONA CHORUS от tc electronics;MOD;0x06;1.00
132;CoronaTri;CRN_TRI.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;'This is a model of tc electronic''s CORONA Tri-Chorus';Моделирует эффект CORONA Tri-Chorus от tc electronics;MOD;0x06;1.00
133;Detune;DETUNE.ZDL;;MS-50G;;MS-70CDR;G1on;;By mixing an effect sound that is slightly pitch-shifted with the original sound, this effect type has a chorus effect without much sense of modulation;Подмешивает слегка сдвинутый по частоте звук к оригинальному сигналу, что дает эффект хоруса без ощущения сильной модуляции;MOD;0x06;1.00
134;DuoPhase;DUOPHASE.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect combines 2 phasers;Эффект комбинации двух фэйзеров;MOD;0x06;1.00
135;DuoTrem;DUOTREM.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect combines two tremolos;Эффект комбинации двух тремоло;MOD;0x06;1.00
136;DynaFLNGR;DYNFLNGR.ZDL;;MS-50G;MS-60B;MS-70CDR;;;The volume of the effect sound changes according to the input signal level with this dynamic flanger;Эффект динамического флэнжера, громкость эффекта изменяется в зависимости от уровня входного сигнала;MOD;0x06;1.00
137;Ensemble;ENSEMBLE.ZDL;;MS-50G;;MS-70CDR;G1on;;This is a chorus ensemble that features three-dimensional movement;Многоголосный хорус, создающий эффект ансамбля с объемным звучанием;MOD;0x06;1.00
138;Flanger;FLANGER.ZDL;;MS-50G;;MS-70CDR;G1on;;This is a jet sound like an ADA flanger;Моделирует реактивное звучание флэнжера, ADA;MOD;0x06;1.00
139;HPS;HPS.ZDL;;MS-50G;;MS-70CDR;G1on;B1on;This intelligent pitch shifter outputs the effect sound with the pitch shifted according to scale and key settings;Продвинутый питч шифтер, выдает звук, сдвинутый по частоте, в соответствии с заданными интервалом и точностью;MOD;0x06;1.00
140;MirageCho;MIRAGECH.ZDL;;MS-50G;;MS-70CDR;;;This chorus shimmers like a mirage;Делает звук переливающимся, как мираж;MOD;0x06;1.00
141;MojoRolle;MJROLLE.ZDL;;MS-50G;;MS-70CDR;;B1on;This effect modulates the pitch after picking;Эффект модулирует питчшифтер после звукоизвлечения;MOD;0x06;1.00
142;MonoPitch;MNPIT.ZDL;;MS-50G;;MS-70CDR;G1on;;This is a pitch shifter with little sound variance for monophonic (single note) playing;Эффект смещения высоты тона с небольшой вариацией звука для монофонического исполнения (одной ноты);MOD;0x06;1.00
143;Octave;OCTAVE.ZDL;;MS-50G;;MS-70CDR;G1on;;This effect adds sound one octave and two octaves below the original sound;Эффект добавляет звук 1 и 2 октавами ниже исходного звука;MOD;0x06;1.00
144;Phaser;PHASER.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect adds a phasing variation to the sound;Эффект добавляет к тембру звука фазовые изменения;MOD;0x06;1.00
145;PitchSHFT;PTCHSHFT.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect shifts the pitch up or down;Эффект смещает высоту тона вверх или вниз;MOD;0x06;1.00
146;RingMod;RINGMOD.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;"This effect produces a metallic ringing sound. Adjusting the ""Freq"" parameter results in a drastic change of sound character";Эффект производит звонкий металлический  звук. Настройка параметра «Freq» приводит к резкому изменению звука;MOD;0x06;1.00
147;SilkyCho;SILKYCHO.ZDL;;MS-50G;;MS-70CDR;;;This chorus effect combines 2 bands of detuning and chorus for precise control;Эффект делит звук на две полосы с детюном и хорусом, смешивая их впоследствии для точного управления;MOD;0x06;1.00
